Empresa;Código(s);CNPJ
HAPVIDA PARTICIPAÇÕES E INVESTIMENTOS SA;HAPV3;05.197.443/0001-38
HBR REALTY EMPREENDIMENTOS IMOBILIÁRIOS S/A;HBRE3;14.785.152/0001-51
HELBOR EMPREENDIMENTOS S.A.;HBOR3;49.263.189/0001-02
HIDROVIAS DO BRASIL S.A.;HBSA3;12.648.327/0001-53
HOSPITAL MATER DEI S/A;MATD3;16.676.520/0001-59
HYPERA S.A.;HYPE3;02.932.074/0001-91
IGUATEMI EMPRESA DE SHOPPING CENTERS S.A.;IGTA3;51.218.147/0001-93
INDÚSTRIAS ROMI S.A.;ROMI3;56.720.428/0001-63
INFRACOMMERCE CXAAS S.A.;IFCM3;38.546.921/0001-36
INSTITUTO HERMES PARDINI S.A.;PARD3;19.378.769/0001-76
INTELBRAS S.A. INDÚSTRIA DE TELECOMUNICAÇÕES ELETRÔNICA BRASILEIRA;INTB3;82.901.000/0001-27
INTERNATIONAL MEAL COMPANY ALIMENTAÇÃO S.A.;MEAL3;17.314.329/0001-20
IOCHPE MAXION S.A.;MYPK3;61.156.113/0001-75
IRANI PAPEL E EMBALAGEM S.A.;RANI3;92.791.243/0001-03
IRB – BRASIL RESSEGUROS S.A.;IRBR3;33.376.989/0001-91
ITAÚ UNIBANCO HOLDING S.A.;ITUB3;60.872.504/0001-23
ITAUSA S.A.;ITSA3;61.532.644/0001-15
JALLES MACHADO S.A.;JALL3;02.635.522/0001-95
JBS S.A.;JBSS3;02.916.265/0001-60
JHSF PARTICIPAÇÕES S.A.;JHSF3;08.294.224/0001-65
JSL S.A.;JSLG3;52.548.435/0001-79
KLABIN S.A.;KLBN3;89.637.490/0001-45
KORA SAÚDE PARTICIPAÇÕES S.A.;KRSA3;13.270.520/0001-66
LAVVI EMPREENDIMENTOS IMOBILIÁRIOS S.A.;LAVV3;26.462.693/0001-28
LIGHT S.A.;LIGT3;03.378.521/0001-75
LIVETECH DA BAHIA INDÚSTRIA E COMÉRCIO S/A;LVTC3;05.917.486/0001-40
LOCALIZA RENT A CAR S.A.;RENT3;16.670.085/0001-55
LOCAWEB SERVIÇOS DE INTERNET S.A.;LWSA3;02.351.877/0001-52
LOG COMMERCIAL PROPERTIES;LOGG3;09.041.168/0001-10
LOG-IN LOGÍSTICA INTERMODAL S.A.;LOGN3;42.278.291/0001-24
LOJAS AMERICANAS S.A.;LAME3;33.014.556/0001-96
LOJAS QUERO-QUERO S.A.;LJQQ3;96.418.264/0218-02
LOJAS RENNER S.A.;LREN3;92.754.738/0001-62
LPS BRASIL – CONSULTORIA DE IMÓVEIS S.A.;LPSB3;08.078.847/0001-09
LUPATECH S.A.;LUPA3;89.463.822/0001-12
M. DIAS BRANCO S.A. INDÚSTRIA E COMÉRCIO DE ALIMENTOS;MDIA3;07.206.816/0001-15
MAGAZINE LUIZA S.A.;MGLU3;47.960.950/0001-21
MAHLE-METAL LEVE S.A.;LEVE3;60.476.884/0001-87
MARCOPOLO S.A.;POMO3;88.611.835/0001-29
MARFRIG GLOBAL FOODS S.A.;MRFG3;03.853.896/0001-40
MARISA LOJAS S.A.;AMAR3;61.189.288/0001-89
